state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac
Alaska,2876.3333333333335,1444.6666666666667,1082.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,4.666666666666667,41.666666666666664,1.3333333333333333,1.3333333333333333,760.0,67.66666666666667,115.0,46.666666666666664,362.6666666666667,47.333333333333336,57.333333333333336,130.66666666666666,290.0
Arizona,11300.0,2050.0,9200.0,0.0,0.0,0.5,0.5,2.0,2.5,1.0,1.0,7.5,60.0,3.0,1.6,788.5,92.0,118.5,65.0,255.0,81.5,83.5,113.0,80.0
California,8524.47619047619,1643.047619047619,6903.428571428572,0.38095238095238093,0.0,0.2857142857142857,2.0476190476190474,0.6666666666666666,2.4285714285714284,2.9047619047619047,2.857142857142857,11.571428571428571,53.95238095238095,4.2631578947368425,1.842857142857143,1235.6190476190477,475.88235294117646,152.11111111111111,66.19047619047619,310.9047619047619,78.21428571428571,81.41666666666667,146.45,146.75
Colorado,11535.772727272728,2499.8636363636365,9066.454545454546,0.6818181818181818,0.0,0.8181818181818182,4.0,0.8181818181818182,1.6818181818181819,2.3636363636363638,4.5,14.863636363636363,121.23809523809524,3.7,2.7181818181818183,3121.909090909091,324.57894736842104,148.0909090909091,60.22727272727273,303.40909090909093,90.71428571428571,90.71428571428571,144.76190476190476,107.0
Connecticut,930.0,510.0,420.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0,2.8,6.0,17.2,2.5,0.7,71.6,67.8,88.25,58.8,73.4,47.8,56.8,116.0,51.2
Idaho,7415.166666666667,1820.8333333333333,5595.833333333333,0.16666666666666666,0.0,0.08333333333333333,1.4166666666666667,0.25,1.3333333333333333,1.75,1.5833333333333333,6.583333333333333,57.75,2.7,1.7750000000000001,1366.3333333333333,171.28571428571428,113.6,61.833333333333336,292.72727272727275,56.55555555555556,55.9,131.125,83.0
Illinois,707.5,254.25,453.25,0.0,,0.0,0.0,1.25,1.0,0.5,4.5,7.25,12.75,1.5,0.30000000000000004,47.75,47.75,73.66666666666667,52.25,34.25,35.0,43.333333333333336,84.5,47.75
Indiana,850.0,350.0,500.0,0.0,0.0,0.0,0.5,1.5,3.0,0.5,4.0,9.5,19.0,2.0,0.7,82.5,82.5,78.5,40.0,21.0,45.0,48.5,85.0,82.5
Iowa,1178.0,350.0,861.3333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.3333333333333333,4.0,14.333333333333334,1.6666666666666667,0.6,46.666666666666664,46.666666666666664,100.0,42.0,38.333333333333336,35.666666666666664,41.666666666666664,100.0,46.666666666666664
Maine,1945.0,1132.4444444444443,719.2222222222222,0.1111111111111111,0.0,0.0,0.6666666666666666,1.0,0.8888888888888888,1.4444444444444444,1.7777777777777777,5.888888888888889,55.666666666666664,2.8333333333333335,1.3444444444444443,402.0,248.85714285714286,108.125,54.333333333333336,115.85714285714286,51.5,61.0,112.0,77.6
Maryland,3115.0,700.0,2415.0,0.0,,0.0,0.0,2.0,5.0,0.0,5.0,12.0,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,59.0,79.0,120.0,118.0
